default.payment.next.month,meses_con_atraso,PAY_0,meses_sin_pago,LIMIT_BAL,pago_promedio_6m,volatilidad_facturacion
1,2,-1,2,120000.0,833.3333333333334,637.9678414047738
0,0,0,0,90000.0,1836.3333333333333,6064.51859315038
0,0,0,0,50000.0,1398.0,10565.793518078359
0,0,-1,0,50000.0,9841.5,10668.590073981974
0,0,0,0,50000.0,1295.3333333333333,22068.949070281225
0,0,0,0,500000.0,30126.5,60569.29313246661
0,0,0,1,100000.0,798.5,4709.231419952375
0,1,0,1,140000.0,1126.8333333333333,3630.397921256934
0,1,0,0,200000.0,1078.6666666666667,3863.01321509518
0,1,-1,1,260000.0,11051.333333333334,5895.637350335132
0,0,-1,1,630000.0,3895.0,2975.9478322040527
1,4,1,2,70000.0,1783.3333333333333,15453.61289472465
0,0,0,0,250000.0,3000.0,6004.421617996746
0,2,1,1,50000.0,1033.3333333333333,8786.707324134564
1,4,0,3,20000.0,1058.3333333333333,1264.2065891301152
0,0,0,0,320000.0,60316.166666666664,100499.35287486516
0,0,0,0,130000.0,7038.5,13000.086467661155
1,0,-1,2,120000.0,263.3333333333333,199.85594812264156
1,4,2,2,70000.0,1835.0,2194.01890754539
0,0,0,1,90000.0,2733.3333333333335,2885.01720387707
0,0,0,0,50000.0,1315.1666666666667,7632.705560066277
0,0,0,0,50000.0,1185.3333333333333,2247.160756747649
0,0,-1,1,50000.0,6594.5,11700.590748618919
0,0,0,1,50000.0,1100.0,2579.187288016647
0,0,-1,1,230000.0,16248.166666666666,8922.787045910412
1,1,2,0,50000.0,1155.6666666666667,3732.203196504713
0,0,0,0,100000.0,3124.0,5969.376340958911
0,0,0,0,280000.0,6987.166666666667,5715.692880132731
0,0,0,1,60000.0,8891.5,6594.643573891364
0,1,-1,1,280000.0,6226.166666666667,5867.0824578035945
0,0,0,0,360000.0,40640.0,173906.60401654293
0,0,0,0,70000.0,3223.6666666666665,1600.6006372609002
0,0,0,0,10000.0,1204.5,1372.6774930769427
0,0,0,0,140000.0,3333.3333333333335,3752.5750092436524
0,1,0,2,40000.0,2166.6666666666665,3754.2210066359526
1,1,0,3,20000.0,3345.8333333333335,6548.419890833717
0,0,-1,0,380000.0,15555.333333333334,7800.678263245233
0,0,0,0,20000.0,1041.0,1134.2313109179568
1,5,1,2,70000.0,1350.0,1306.3378838059725
0,0,0,0,100000.0,1601.0,10600.682595946357
0,2,1,0,180000.0,1707.6666666666667,1525.0044480809445
0,1,2,0,150000.0,2144.5,10601.763395775251
0,0,0,0,180000.0,4863.166666666667,6086.05591221989
0,0,0,0,180000.0,5677.0,21570.885368941166
0,5,-1,4,200000.0,316.6666666666667,345.7303862838787
0,0,0,0,400000.0,18171.5,22512.981535105475
1,0,0,0,500000.0,1469.3333333333333,4201.8060600968565
0,0,0,1,70000.0,2020.0,33545.428272716985
1,6,2,3,50000.0,1020.8333333333334,1531.092028586133
1,3,2,1,10000.0,501.6666666666667,847.1159700222081
0,1,2,0,210000.0,1533.0,1586.1290931068631
0,1,2,2,20000.0,616.6666666666666,5051.031459019039
0,0,-1,1,80000.0,325.0,246.6576574931336
1,6,2,1,320000.0,2300.0,2120.736633027936
0,1,-1,0,200000.0,3252.0,3021.4923078946713
0,0,-1,0,340000.0,23666.166666666668,29408.176627711327
0,1,0,2,20000.0,931.6666666666666,1285.329996537854
0,0,-1,0,50000.0,1059.6666666666667,16029.163804349453
0,0,-1,0,300000.0,291.0,0.0
1,0,0,1,30000.0,1401.8333333333333,9139.628103301942
0,0,0,0,470000.0,3654.3333333333335,66805.33728004074
0,0,0,0,360000.0,26892.5,65185.69022645998
1,0,0,1,60000.0,890.8333333333334,3821.6169178329046
0,1,0,0,400000.0,3792.1666666666665,18024.80346263633
0,0,0,0,50000.0,1008.6666666666666,14588.655557201515
0,0,0,0,160000.0,16957.833333333332,20478.398730532295
1,1,-1,2,360000.0,390.0,326.2974103482895
0,0,0,1,160000.0,1369.3333333333333,2785.061130388344
0,0,0,0,130000.0,9450.833333333334,49637.66182513704
0,3,2,2,20000.0,1025.1666666666667,1685.0850918178187
1,6,2,0,200000.0,5466.666666666667,4158.173529327511
0,0,0,0,60000.0,1043.5,14904.857696961304
0,0,0,0,90000.0,1959.3333333333333,29294.15102484908
0,0,-1,1,360000.0,20102.166666666668,8520.92693705718
0,0,0,0,150000.0,3973.5,19221.20264100732
0,0,0,0,50000.0,630.5,4751.430886234869
1,0,0,1,20000.0,947.5,7570.499783149502
0,2,0,1,480000.0,21828.5,26808.4820414485
1,0,0,0,50000.0,1145.0,9080.58937881604
0,5,2,1,60000.0,2252.8333333333335,2176.291861554113
0,0,-1,0,80000.0,2132.3333333333335,1827.5359093599227
0,0,-1,0,350000.0,2547.5,1780.2228418562286
0,0,0,1,130000.0,47961.333333333336,60016.17576842652
0,1,0,2,330000.0,5457.833333333333,1083.1979812881239
0,1,0,0,50000.0,1166.6666666666667,1478.5962825148272
0,6,2,2,280000.0,6767.333333333333,7300.13990733511
0,0,0,0,100000.0,2977.6666666666665,3427.724881997776
0,0,0,0,50000.0,911.8333333333334,561.6709594296883
1,3,-1,2,30000.0,1052.0,1645.6070004712547
0,0,-1,0,240000.0,1276.0,2172.709521925714
1,1,2,0,80000.0,1283.3333333333333,1520.6558672713122
0,0,-1,0,400000.0,9648.5,4600.610510211299
0,0,0,0,240000.0,1845.5,26117.499740595387
